

Brokerage

Run Date,Account,Action,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
06/02/2026,Individual Z12345678, YOU BOUGHT NVIDIA CORP (NVDA) (Cash), NVDA, NVIDIA CORP,Cash,10,132.50,0.00,0.00,0.00,"-1,325.00",06/04/2026
05/28/2026,Individual Z12345678, YOU SOLD MICROSOFT CORP (MSFT) (Cash), MSFT, MICROSOFT CORP,Cash,-5,448.10,0.00,0.03,0.00,"2,240.47",06/01/2026
05/15/2026,Individual Z12345678, DIVIDEND RECEIVED APPLE INC (AAPL) (Cash), AAPL, APPLE INC,Cash,--,--,--,--,--,12.50,05/15/2026
05/15/2026,Individual Z12345678, REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,12.5,1.00,--,--,--,-12.50,05/15/2026
04/21/2026,Individual Z12345678, YOU BOUGHT APPLE INC (AAPL) (Cash), AAPL, APPLE INC,Cash,20,148.75,0.00,0.00,0.00,"-2,975.00",04/23/2026
04/10/2026,Individual Z12345678, TRANSFER OF ASSETS RECEIVED (Cash),, TRANSFER,Cash,--,--,--,--,--,"10,000.00",04/10/2026

"Date downloaded 06/08/2026 9:35 PM ET"

"The data and information in this spreadsheet is provided to you for your personal reference only."
